pin14,tri,pdir,pstreet,pcity,tcity,condo,av1,value,taxes,homeowner,white,black,hispanic,asian,medhinc,poverty,college,squarefoot,beds,walkscore,walkfac,elem_score,high_school_score,avg_school_score,appeal
1.02542E+13,Chicago,W,JARLATH,CHICAGO,CHICAGO,Non-condo,29963,360000,4741.3101,0,0.60949671,0.092570402,0.14125225,0.26467946,62415,0.23147663,0.30340186,2208,4,65,Somewhat Walkable,7,1,4,0
1.3304E+13,Chicago,N,RUTHERFORD,CHICAGO,CHICAGO,Non-condo,22092,139000,3478.24,0,0.57056397,0.07909216,0.62971115,0.30591473,40810,0.11178528,0.098508105,1080,2,75,Very Walkable,5,1,3,2724
1.43011E+13,Chicago,W,BARRY,CHICAGO,CHICAGO,Non-condo,69488,725000,10419.66,0,0.73086184,0.092441022,0.20028888,0.14058739,74655,0.09296947,0.43015727,2361,4,86,Very Walkable,5,8,7,0
1.73312E+13,Chicago,W,35TH,CHICAGO,CHICAGO,Non-condo,49414,438000,6903.5498,0,0.56403142,0.02704577,0.41100323,0.36384651,40000,0.36528066,0.16444907,3390,5,80,Very Walkable,5,7,6,6989
1.70612E+13,Chicago,N,OAKLEY,CHICAGO,CHICAGO,Non-condo,-19606,318660,3182.1799,0,0.71580189,0.092570752,0.23525943,0.15212265,89183,0.13907462,0.43273604,3199,9,87,Very Walkable,2,4,3,42012
2.01421E+13,Chicago,S,HARPER,CHICAGO,CHICAGO,Non-condo,35297,530000,3345.6201,1,0.71810508,0.054878049,0.052532833,0.18667917,75054,0.1548328,0.57031608,1676,3,92,Walker's Paradise,4,8,6,2019
1.31323E+13,Chicago,W,MONTROSE,CHICAGO,PARK RIDGE,Non-condo,44332,464900,3856.73,0,0.64131868,0.033553112,0.40732601,0.27765569,67880,0.14755787,0.32932609,NA,NA,83,Very Walkable,5,2,4,18595
1.4293E+13,Chicago,N,SOUTHPORT,CHICAGO,CHICAGO,Non-condo,62550,630000,11032.11,0,0.8822543,0.010063737,0.07514257,0.077490777,134018,0.033978932,0.55351681,1740,3,79,Very Walkable,9,9,9,2346
1.6241E+13,Chicago,S,TROY,CHICAGO,GLENVIEW,Non-condo,23049,175000,2305.6299,0,0.058668077,0.91279072,0.030126849,0.019556025,28750,0.33995888,0.059401415,3261,6,69,Somewhat Walkable,2,1,2,6470
1.42922E+13,Chicago,N,SHEFFIELD,CHICAGO,CHICAGO,Non-condo,-53022,520000,7497.23,0,0.90140843,0.02112676,0.056086518,0.055080485,109167,0.15738499,0.60702181,2156,5,89,Very Walkable,6,9,8,92632
1.72711E+13,Chicago,S,WABASH,CHICAGO,CHICAGO,Non-condo,44575,336500,6784.71,0,0.2508834,0.51236749,0.045936394,0.19905771,32167,0.23616734,0.3859649,1887,2,90,Walker's Paradise,4,4,4,1065
1.31721E+13,Chicago,W,LELAND,CHICAGO,CHICAGO,Non-condo,15413,150000,2345.0701,1,0.79657835,0.006467766,0.25015649,0.16190277,47972,0.1586891,0.21474774,521,2,63,Somewhat Walkable,6,6,6,0
1.31412E+13,Chicago,N,HARDING,CHICAGO,CHICAGO,Non-condo,27431,210195,4320.1802,0,0.48564249,0.02333094,0.6051687,0.45297918,45972,0.26993454,0.12657379,2250,4,85,Very Walkable,5,2,4,3356
2.02313E+13,Chicago,S,UNIVERSITY,CHICAGO,CHICAGO,Non-condo,25344,360000,913.53003,1,0.0490456,0.90535527,0.023329798,0.012460234,33750,0.19564924,0.19267666,2184,4,64,Somewhat Walkable,4,6,5,7633
1.70922E+13,Chicago,W,ERIE,CHICAGO,CHICAGO,Non-condo,137577,3000000,19735.34,0,0.79294783,0.035260931,0.051057827,0.1528914,86786,0.13270001,0.65400028,4824,8,100,Walker's Paradise,7,5,6,0
1.92332E+13,Chicago,W,69TH,CHICAGO,CHICAGO,Non-condo,21409,84000,2545.6499,1,0.48479906,0.055020019,0.84413463,0.42562658,44679,0.22738639,0.036328871,1091,3,66,Somewhat Walkable,6,5,6,2121
1.41832E+13,Chicago,N,CLAREMONT,CHICAGO,CHICAGO,Non-condo,91479,1145000,10588.57,0,0.83522844,0.025635725,0.14533801,0.11081249,64051,0.058345489,0.43613252,1738,4,87,Very Walkable,8,10,9,3688
1.30322E+13,Chicago,N,KILDARE,CHICAGO,CHICAGO,Non-condo,49184,505000,5811.73,1,0.79120189,0.00958366,0.097879022,0.16339356,101402,0.058809619,0.42790699,2221,4,50,Somewhat Walkable,9,7,8,8620
2.0341E+13,Chicago,S,PRAIRIE,CHICAGO,OAK PARK,Non-condo,-7627,90000,2274.0901,0,0.006726929,0.97519445,0.010931259,0.003153248,45839,0.12733428,0.25466856,5621,6,81,Very Walkable,2,1,2,16627
1.91222E+13,Chicago,W,50TH,CHICAGO,CHICAGO,Non-condo,26422,215000,2806.3,1,0.4469187,0.019161057,0.88814086,0.47643709,30729,0.35228071,0.06128655,2388,4,71,Very Walkable,2,8,5,7201
1.43132E+13,Chicago,W,MOFFAT,CHICAGO,CHICAGO,Non-condo,49273,1125000,7182.0298,0,0.84832639,0.024581591,0.14539748,0.095711298,114038,0.053445116,0.67539954,1480,3,96,Walker's Paradise,9,4,7,3215
1.4333E+13,Chicago,N,BURLING,CHICAGO,CHICAGO,Non-condo,152828,1700000,6765.3799,1,0.7751323,0.15721844,0.040438399,0.045351475,116510,0.06277179,0.53280395,4233,5,91,Walker's Paradise,6,9,8,111070
2.01542E+13,Chicago,S,CHAMPLAIN,CHICAGO,CHICAGO,Non-condo,-10062,45000,1142.66,0,0.012195121,0.96875,0.012195121,0.004573171,23125,0.43001619,0.072411001,3104,6,73,Very Walkable,1,6,4,17084
1.43041E+13,Chicago,W,ALTGELD,CHICAGO,CHICAGO,Non-condo,89282,1325000,8667.96,1,0.79459924,0.06090204,0.11577133,0.11749497,106071,0.11944824,0.47021374,2717,4,87,Very Walkable,9,9,9,0
1.42031E+13,Chicago,N,JANSSEN,CHICAGO,CHICAGO,Non-condo,47718,450000,4604.2002,1,0.91645199,0.013986014,0.07618697,0.048951048,100786,0.037166901,0.68162692,1275,2,96,Walker's Paradise,6,5,6,2719
1.32311E+13,Chicago,N,HAMLIN,CHICAGO,CHICAGO,Non-condo,34424,439000,5447.21,0,0.75176716,0.033679835,0.31392932,0.16632016,66523,0.10085709,0.32648993,1339,3,77,Very Walkable,9,3,6,0
1.21121E+13,Chicago,W,BERWYN,CHICAGO,CHICAGO,Non-condo,32954,340000,3927.99,1,0.87956393,0.004499049,0.10382419,0.087385364,77679,0.011015912,0.20073439,1237,3,43,Car-Dependent,8,8,8,0
1.41822E+13,Chicago,N,HERMITAGE,CHICAGO,CHICAGO,Non-condo,68642,589500,9575.2598,1,0.77821183,0.071614586,0.1484375,0.1063368,67273,0.14934367,0.49063912,2158,3,85,Very Walkable,7,5,6,0
1.31311E+13,Chicago,W,EASTWOOD,CHICAGO,CHICAGO,Non-condo,32311,415000,3826.28,1,0.64131868,0.033553112,0.40732601,0.27765569,67880,0.14755787,0.32932609,2768,6,89,Very Walkable,4,2,3,0
1.61421E+13,Chicago,W,JACKSON,CHICAGO,SKOKIE,Non-condo,27666,130000,4191.25,0,0.027504912,0.95022923,0.017681729,0.009168304,29063,0.28450108,0.04317056,4794,12,68,Somewhat Walkable,5,4,5,1909
1.3102E+13,Chicago,N,KILDARE,CHICAGO,CHICAGO,Non-condo,48968,480000,7504.7402,1,0.7315864,0.01203966,0.22450425,0.21458924,71806,0.050033357,0.3502335,1801,3,37,Car-Dependent,6,7,7,1030
1.42922E+13,Chicago,W,GEORGE,CHICAGO,CHICAGO,Non-condo,66893,839000,9079.8896,0,0.90140843,0.02112676,0.056086518,0.055080485,109167,0.15738499,0.60702181,1954,3,87,Very Walkable,6,9,8,3596
1.22443E+13,Chicago,N,OKETO,CHICAGO,CHICAGO,Non-condo,23656,245000,2525.7,1,0.8414405,0.008062349,0.21499597,0.12469766,59559,0.13222916,0.18544665,1263,2,79,Very Walkable,7,1,4,0
1.42021E+13,Chicago,N,KENMORE,CHICAGO,CHICAGO,Non-condo,85258,870000,11414.3,1,0.71064603,0.18107371,0.095541403,0.083105855,65404,0.14044605,0.49819168,2468,4,92,Walker's Paradise,8,5,7,6124
1.9144E+13,Chicago,W,59TH,CHICAGO,CHICAGO,Non-condo,20691,100000,2972.4099,1,0.447651,0.055704698,0.87902683,0.4498322,35259,0.29573625,0.020219781,2388,4,81,Very Walkable,5,9,7,0
1.20132E+13,Chicago,N,OTTAWA,CHICAGO,CHICAGO,Non-condo,21683,198000,3149.8301,1,0.91063273,0.00456621,0.11089367,0.063600786,82679,0.076506324,0.31193563,855,2,36,Car-Dependent,9,8,9,1735
1.4281E+13,Chicago,W,BRIAR,CHICAGO,CHICAGO,Non-condo,88442,835000,13232.16,0,0.86654395,0.020708697,0.05752416,0.08145421,61786,0.15779093,0.60837168,2520,4,94,Walker's Paradise,7,9,8,3585
1.43241E+13,Chicago,N,DAYTON,CHICAGO,CHICAGO,Non-condo,286666,2830000,45569.621,0,0.91762811,0.022806548,0.033270728,0.042125035,123851,0.11151303,0.65435946,3948,4,97,Walker's Paradise,6,9,8,37986
1.30311E+13,Chicago,N,FOREST GLEN,CHICAGO,FOREST PARK,Non-condo,46214,430000,6701.23,0,0.79120189,0.00958366,0.097879022,0.16339356,101402,0.058809619,0.42790699,1845,3,50,Somewhat Walkable,9,7,8,3214
1.30421E+13,Chicago,N,LEONA,CHICAGO,CHICAGO,Non-condo,47031,492500,3703.51,1,0.87200904,0.00496614,0.079909705,0.09571106,89773,0.024190761,0.38359636,1703,4,58,Somewhat Walkable,9,8,9,6086
1.4304E+13,Chicago,NA,HARTLAND,CHICAGO,CHICAGO,Non-condo,41331,840653,5933.3599,0,0.79459924,0.06090204,0.11577133,0.11749497,106071,0.11944824,0.47021374,1558,4,82,Very Walkable,9,8,9,0
1.43113E+13,Chicago,W,CHARLESTON,CHICAGO,CHICAGO,Non-condo,52657,1750000,6048.0898,0,0.81946784,0.023576962,0.18491074,0.12630515,64855,0.12836021,0.47815859,1360,3,93,Walker's Paradise,6,4,5,13871
1.41811E+13,Chicago,W,GIDDINGS,CHICAGO,ARLNGTN HTS,Non-condo,65972,585000,8987.5195,0,0.83566147,0.020131471,0.14790468,0.10230074,66266,0.099077418,0.52507019,4425,9,96,Walker's Paradise,5,5,5,3319
1.41813E+13,Chicago,W,AGATITE,CHICAGO,CHICAGO,Non-condo,70345,1775487,11235.17,0,0.83794874,0.018974358,0.1425641,0.11435898,54423,0.091136701,0.55333,2094,4,94,Walker's Paradise,8,5,7,0
1.4074E+13,Chicago,N,DAMEN,CHICAGO,CHICAGO,Non-condo,49077,520000,7446.1602,1,0.78178155,0.031110117,0.18934646,0.15331244,61738,0.094159447,0.52942485,2113,3,88,Very Walkable,7,5,6,5819
1.70541E+13,Chicago,N,ELSTON,CHICAGO,CHICAGO,Non-condo,44700,424900,6028.75,0,0.70314425,0.16985203,0.10758323,0.094944514,106193,0.16277294,0.57779813,1766,3,82,Very Walkable,3,5,4,6038
1.31433E+13,Chicago,N,CENTRAL PARK,CHICAGO,CHICAGO,Non-condo,31556,470000,4761.0898,1,0.66254193,0.042365771,0.44588926,0.23301175,44813,0.29998994,0.23363829,1754,3,83,Very Walkable,4,2,3,2844
2.0142E+13,Chicago,E,55TH,CHICAGO,CHICAGO,Non-condo,35313,427500,3339.73,1,0.71810508,0.054878049,0.052532833,0.18667917,75054,0.1548328,0.57031608,1406,3,92,Walker's Paradise,4,8,6,1773
1.30531E+13,Chicago,N,MELVINA,CHICAGO,PARK RIDGE,Non-condo,21243,155000,3164.74,1,0.87502354,0.007716921,0.13984565,0.092979483,64352,0.060853366,0.27623525,1020,2,79,Very Walkable,7,8,8,1112
1.43223E+13,Chicago,N,FREMONT,CHICAGO,CHICAGO,Non-condo,159948,2775000,27885.65,0,0.87975544,0.031589676,0.060461957,0.068614133,103250,0.14320055,0.4955357,3908,4,98,Walker's Paradise,6,9,8,7772
1.41713E+13,Chicago,N,MAGNOLIA,CHICAGO,CHICAGO,Non-condo,-44411,374500,3744.4299,0,0.5800609,0.22359209,0.18249619,0.15357687,41645,0.25674251,0.43453369,11034,12,91,Walker's Paradise,4,2,3,89624
1.30431E+13,Chicago,W,ARDMORE,CHICAGO,CHICAGO,Non-condo,34551,363000,4056.1499,1,0.81728208,0.013513514,0.16082984,0.13189951,62520,0.031763416,0.18455641,1840,4,36,Car-Dependent,7,8,8,2627
2.5281E+13,Chicago,S,WALLACE,CHICAGO,CHICAGO,Non-condo,9828,155000,832.14001,1,0.004813032,0.97315806,0.012958163,0.006664198,38327,0.47433501,0.10230406,1920,4,65,Somewhat Walkable,2,6,4,0
1.60121E+13,Chicago,N,WASHTENAW,CHICAGO,CHICAGO,Non-condo,57221,844000,8218.8301,0,0.45627749,0.28041035,0.5334636,0.20810942,37083,0.29237875,0.17598152,2170,4,86,Very Walkable,3,4,4,0
1.3122E+13,Chicago,W,CATALPA,CHICAGO,CHICAGO,Non-condo,48132,421000,6905.5801,0,0.57952821,0.077803835,0.19285418,0.2981101,43604,0.18474528,0.25214654,2964,6,83,Very Walkable,7,4,6,10163
1.30612E+13,Chicago,N,NORTHCOTT,CHICAGO,CHICAGO,Non-condo,35562,587000,5714.3101,1,0.92342561,0.004694836,0.097134531,0.053585883,57163,0.065240555,0.21047455,1865,4,59,Somewhat Walkable,10,8,9,1755
1.40732E+13,Chicago,N,HAMILTON,CHICAGO,CHICAGO,Non-condo,45157,718000,7794.1099,1,0.78178155,0.031110117,0.18934646,0.15331244,61738,0.094159447,0.52942485,1564,4,92,Walker's Paradise,7,5,6,0
1.91041E+13,Chicago,S,KILDARE,CHICAGO,CHICAGO,Non-condo,30117,299900,5477.4902,0,0.59870023,0.017465476,0.70958573,0.34443542,40456,0.14030868,0.057726998,3864,6,79,Very Walkable,4,1,3,0
1.32923E+13,Chicago,W,DIVERSEY,CHICAGO,CHICAGO,Non-condo,22049,341000,4040.4099,0,0.55093443,0.030230854,0.67167461,0.36295345,37365,0.15329665,0.100975,5520,6,80,Very Walkable,4,1,3,0
1.72121E+13,Chicago,S,FEDERAL,CHICAGO,CHICAGO,Non-condo,60268,725000,8550.29,0,0.43405148,0.32895428,0.03888597,0.20888071,74519,0.096639752,0.47017452,2621,3,84,Very Walkable,7,6,7,6234
1.3214E+13,Chicago,W,EDDY,CHICAGO,CHICAGO,Non-condo,31608,280000,5314.4399,1,0.57325292,0.026959915,0.61617595,0.35579994,38694,0.31540298,0.076005138,1156,3,71,Very Walkable,4,1,3,0
1.03621E+13,Chicago,W,GREENLEAF,CHICAGO,CHICAGO,Non-condo,45996,600000,7440.04,0,0.656129,0.099354841,0.20473118,0.21053763,56181,0.10929082,0.31731722,5075,10,64,Somewhat Walkable,6,1,4,0
1.2234E+13,Chicago,W,ADDISON,CHICAGO,CHICAGO,Non-condo,43178,529000,4319.1299,0,0.88670939,0.001601281,0.1441153,0.086469173,52219,0.067223623,0.19856226,5068,8,52,Somewhat Walkable,9,8,9,0
1.4314E+13,Chicago,N,WINCHESTER,CHICAGO,CHICAGO,Non-condo,102690,1025000,15087.54,1,0.85173059,0.015902713,0.088400371,0.10710945,117180,0.013336297,0.74372083,2614,4,87,Very Walkable,9,4,7,0
2.01631E+13,Chicago,W,60TH,CHICAGO,CHICAGO,Non-condo,-104208,164400,2968.1799,0,0.009264161,0.97723663,0.012440445,0.003970355,18829,0.42044136,0.029616725,NA,NA,70,Very Walkable,1,1,1,122558
2.5124E+13,Chicago,S,PAXTON,CHICAGO,BARTLETT,Non-condo,9579,100762,1759.6899,0,0.006529851,0.97350746,0.010261194,0.005597015,32500,0.34765285,0.11276633,1214,3,50,Somewhat Walkable,3,3,3,0
2.00433E+13,Chicago,S,WALLACE,CHICAGO,CHICAGO,Non-condo,17521,167000,2772.49,0,0.86001438,0.017946877,0.16295764,0.10122038,76801,0.071937323,0.11396012,2880,4,67,Somewhat Walkable,3,1,2,0
1.70421E+13,Chicago,W,SCHILLER,CHICAGO,CHICAGO,Non-condo,69427,650000,9931.3799,1,0.83198148,0.061645422,0.044495944,0.08528389,92744,0.12110686,0.69237006,1669,4,98,Walker's Paradise,5,9,7,3546
1.6021E+13,Chicago,N,SPRINGFIELD,CHICAGO,CHICAGO,Non-condo,22566,175000,3204.8999,0,0.32071024,0.15603395,0.81693906,0.46087366,38319,0.19199446,0.046958931,1015,2,84,Very Walkable,4,2,3,0
1.0364E+13,Chicago,N,TALMAN,CHICAGO,CHICAGO,Non-condo,36113,412000,3066.5,0,0.48018435,0.075115204,0.26244241,0.39792627,41386,0.22222222,0.25794926,1416,3,79,Very Walkable,6,4,5,0
2.13012E+13,Chicago,E,74TH,CHICAGO,CHICAGO,Non-condo,12724,140000,1328.16,1,0.025553131,0.94266129,0.015113743,0.009816142,30762,0.27411488,0.16774194,1600,3,79,Very Walkable,2,2,2,615
1.33632E+13,Chicago,N,TROY,CHICAGO,CHICAGO,Non-condo,19721,152000,3195.7,0,0.45224893,0.17560074,0.63955635,0.31916204,37571,0.25970718,0.16804583,888,6,83,Very Walkable,2,8,5,0
1.30411E+13,Chicago,N,NAVAJO,CHICAGO,CHICAGO,Non-condo,88050,817000,14490.88,1,0.87200904,0.00496614,0.079909705,0.09571106,89773,0.024190761,0.38359636,2901,4,65,Somewhat Walkable,9,8,9,6348
2.01441E+13,Chicago,S,KIMBARK,CHICAGO,CHICAGO,Non-condo,13382,75000,1812.4301,1,0.16947185,0.74637258,0.024376089,0.056877539,30673,0.21610661,0.27114716,2184,4,57,Somewhat Walkable,5,6,6,787
1.41941E+13,Chicago,W,CORNELIA,CHICAGO,CHICAGO,Non-condo,97729,875000,16438.17,1,0.91645199,0.013986014,0.07618697,0.048951048,100786,0.037166901,0.68162692,2684,4,96,Walker's Paradise,6,5,6,3629
1.72231E+13,Chicago,S,INDIANA,CHICAGO,CHICAGO,Non-condo,27303,570000,4320.3999,0,0.54436809,0.26328054,0.060651328,0.16301166,71563,0.12187837,0.54226327,2261,3,91,Walker's Paradise,4,4,4,0
1.42941E+13,Chicago,N,MILDRED,CHICAGO,CHICAGO,Non-condo,90243,925000,12581.75,0,0.89842588,0.015741015,0.050490052,0.058212057,91910,0.17301349,0.58140928,4583,6,95,Walker's Paradise,6,9,8,2600
1.7282E+13,Chicago,S,ARCHER,CHICAGO,CHICAGO,Non-condo,43044,340000,6945.1001,0,0.055279847,0.035842296,0.019023987,0.89660877,22000,0.37336138,0.17385209,2086,4,95,Walker's Paradise,9,4,7,4341
1.32022E+13,Chicago,W,WARWICK,CHICAGO,CHICAGO,Non-condo,23555,248500,2440.74,1,0.75786692,0.01201057,0.3713668,0.18712467,60609,0.097273774,0.16178164,1401,3,77,Very Walkable,7,4,6,0
1.42832E+13,Chicago,W,ARLINGTON,CHICAGO,CHICAGO,Non-condo,97822,1475000,15802.21,1,0.87486827,0.020284509,0.042149629,0.080084302,66329,0.15053487,0.66374534,2929,4,93,Walker's Paradise,10,9,10,7266
1.7331E+13,Chicago,S,WALLACE,CHICAGO,CHICAGO,Non-condo,33740,202000,5044.1802,0,0.55054945,0.010989011,0.22380953,0.40915751,50833,0.16116707,0.19763806,2430,6,83,Very Walkable,9,7,8,2612
1.31032E+13,Chicago,N,KILBOURN,CHICAGO,CHICAGO,Non-condo,29731,205000,4192.1899,1,0.59030128,0.017487142,0.32564291,0.3357825,43628,0.15021962,0.19502196,1216,3,59,Somewhat Walkable,6,7,7,3874
1.42941E+13,Chicago,N,WILTON,CHICAGO,CHICAGO,Non-condo,63281,775000,9200.1504,0,0.89842588,0.015741015,0.050490052,0.058212057,91910,0.17301349,0.58140928,2482,6,92,Walker's Paradise,6,9,8,5140
1.40842E+13,Chicago,W,CASTLEWOOD,CHICAGO,CHICAGO,Non-condo,127973,1280000,16621.77,1,0.50734878,0.2146693,0.096806102,0.24448842,32930,0.26304683,0.34463355,3702,6,93,Walker's Paradise,5,2,4,0
2.02611E+13,Chicago,S,UNIVERSITY,CHICAGO,WILMETTE,Non-condo,-6877,33000,784.51001,0,0.014770459,0.96127743,0.015968064,0.009580839,26952,0.33783785,0.088452086,2450,6,67,Somewhat Walkable,2,1,2,11908
1.3252E+13,Chicago,W,FLETCHER,CHICAGO,CHICAGO,Non-condo,67845,785000,11339.41,0,0.78223902,0.050070856,0.24374114,0.13462447,79688,0.10283853,0.46812472,NA,NA,83,Very Walkable,6,8,7,5964
1.30511E+13,Chicago,N,MOODY,CHICAGO,CHICAGO,Non-condo,29539,385000,2693.76,1,0.87502354,0.007716921,0.13984565,0.092979483,64352,0.060853366,0.27623525,2578,4,74,Very Walkable,8,8,8,1632
1.41832E+13,Chicago,N,LEAVITT,CHICAGO,CHICAGO,Non-condo,84676,910000,11185.95,0,0.83522844,0.025635725,0.14533801,0.11081249,64051,0.058345489,0.43613252,2373,4,92,Walker's Paradise,8,5,7,6756
1.73412E+13,Chicago,S,GILES,CHICAGO,CHICAGO,Non-condo,10556,200000,2871.1399,0,0.11067961,0.81359226,0.014886731,0.057605177,21292,0.23415548,0.31845146,2320,6,80,Very Walkable,1,8,5,9444
1.30721E+13,Chicago,W,TALCOTT,CHICAGO,CHICAGO,Non-condo,24301,286000,2870.53,1,0.86485928,0.007450331,0.14279801,0.10347682,58578,0.03569179,0.15683393,1075,2,48,Car-Dependent,7,8,8,0
1.70422E+13,Chicago,N,CLARK,CHICAGO,CHICAGO,Non-condo,94407,850000,12245.55,0,0.88965124,0.022584334,0.045168668,0.069754146,87136,0.045903545,0.73097038,2400,3,98,Walker's Paradise,5,9,7,9106
1.30311E+13,Chicago,N,SAUGANASH,CHICAGO,CHICAGO,Non-condo,60814,575000,11182.85,0,0.79120189,0.00958366,0.097879022,0.16339356,101402,0.058809619,0.42790699,2928,5,59,Somewhat Walkable,9,7,8,0
1.02543E+13,Chicago,W,BIRCHWOOD,CHICAGO,CHICAGO,Non-condo,22538,185000,2982.24,0,0.60949671,0.092570402,0.14125225,0.26467946,62415,0.23147663,0.30340186,1280,3,68,Somewhat Walkable,7,1,4,3413
1.70911E+13,Chicago,N,CANAL,CHICAGO,CHICAGO,Non-condo,157595,1700000,24036.01,0,0.70314425,0.16985203,0.10758323,0.094944514,106193,0.16277294,0.57779813,3476,3,95,Walker's Paradise,5,5,5,26427
1.30821E+13,Chicago,N,CENTRAL,CHICAGO,CHICAGO,Non-condo,33519,280000,5463.7202,0,0.79349363,0.007425743,0.18953323,0.17892504,57641,0.14466053,0.16956671,2016,4,70,Very Walkable,7,8,8,3500
1.92331E+13,Chicago,W,68TH,CHICAGO,CHICAGO,Non-condo,16437,230000,1693.7,0,0.48479906,0.055020019,0.84413463,0.42562658,44679,0.22738639,0.036328871,1066,2,76,Very Walkable,6,5,6,0
1.42932E+13,Chicago,W,ALTGELD,CHICAGO,CHICAGO,Non-condo,57625,580000,9118.5195,0,0.90403003,0.033128414,0.051571038,0.043374319,108958,0.056663871,0.51299244,2127,2,89,Very Walkable,8,9,9,0
1.31643E+13,Chicago,N,MILWAUKEE,CHICAGO,SKOKIE,Non-condo,42036,385000,4913.27,1,0.73753315,0.023474801,0.3111406,0.19005305,51205,0.2305235,0.24212791,3182,6,88,Very Walkable,4,3,4,10152
2.50312E+13,Chicago,E,90TH,CHICAGO,CHICAGO,Non-condo,10395,424385,1493.96,0,0.003365385,0.9826923,0.011538462,0.004807693,44891,0.1760117,0.21062896,1988,3,34,Car-Dependent,10,6,8,0
1.60931E+13,Chicago,W,FULTON,CHICAGO,OAK PK,Non-condo,34131,265000,1345.38,0,0.018146921,0.96091431,0.023905078,0.010818357,22587,0.41665253,0.04527726,4342,8,79,Very Walkable,1,3,2,24658
1.91843E+13,Chicago,S,NEENAH,CHICAGO,CHICAGO,Non-condo,25163,298500,3587.75,1,0.84639496,0.005329154,0.31692791,0.11598746,66042,0.029199325,0.082680188,1404,3,34,Car-Dependent,7,3,5,0
1.33112E+13,Chicago,N,NORDICA,CHICAGO,CHICAGO,Non-condo,39597,350000,3835.3401,1,0.50875562,0.31321305,0.2491377,0.1394269,67646,0.1067412,0.24262993,1170,4,68,Somewhat Walkable,4,1,3,0
1.43221E+13,Chicago,W,WEBSTER,CHICAGO,CHICAGO,Non-condo,88000,880000,13932.78,1,0.85749662,0.048176497,0.066861771,0.071589373,93972,0.14656597,0.28746754,2749,3,95,Walker's Paradise,8,9,9,0
1.61231E+13,Chicago,W,WALNUT,CHICAGO,CHICAGO,Non-condo,19757,440000,1149.39,0,0.10335349,0.84167123,0.075865857,0.029686641,30032,0.32073492,0.12440945,1360,3,75,Very Walkable,2,8,5,0
1.70422E+13,Chicago,N,SUTTON,CHICAGO,CHICAGO,Non-condo,78442,725000,12412.6,0,0.88965124,0.022584334,0.045168668,0.069754146,87136,0.045903545,0.73097038,2624,4,98,Walker's Paradise,5,9,7,0
